연구보고서명,발행일,연구책임자,보고서종류,국제표준도서번호,연구목적
[2021] 2020년 장애인 빈곤 및 소득불평등 지표,2021-12-10,조윤화,정책연구,978-89-6921-427-0(93330),본 연구는 2차 자료를 활용하여 전체인구  비장애인 인구에서의 장애인구의 빈곤 및 소득불평등 지표와 장애인 내 장애유형 및 장애정도별 빈곤지수 및 소득불평등 수준 등의 두 측면에서 분석(2020년 장애인실태조사 공개 시)하여  장애인복지정책 소득보장제도의 효과성을 파악할 수 있는 기초자료를 생산하고자 함
[2021] 2020년 장애인삶패널조사 공표 일정 사전 안내 ,2021-12-01,김정희,정책연구,데이터 미집계,장애인의 장애등록 이후 삶의 변화를 파악하고 삶과 관련된 일상생활  소득수준  건강상태  복지욕구  사회참여 등의 탐색을 통해 향후 관련 정책의 수립지원 과정에서 활용할 수 있는 기초자료를 마련하고자 함
[2021] 서울시 장애인 탈시설 종단연구(2021),2021-11-30,김현지,정책연구,978-89-6921-423-2(93330) ,탈시설 장애인을 대상으로 종단조사를 실시하여 지역사회 정착과정과 삶을 분석
[2021] 장애학생 진로직업 연계 직업평가체계 구축 연구,2021-11-30,대구대학교 나운환 교수,직업재활,978-89-6921-424-9,1) 진로·직업재활서비스 원스톱서비스를 위한 지역 단위 체계 구축방안 제시  2) 지역 단위 진로·직업체계를 지원할 수 있는 중앙정부 전달체계의 연계방안 제시  3) '20년 개발한 요양보호  임가공  바리스타 직무 현장평가지에 대한 현장 적용성 평가를 통해 각 직무별 현장평가 실시기준 제시  4) 추가로 발달장애인이 다수 진입할 수 있는 직무에 대해 현장평가를 위한 체크리스트 개발
[2021] 유엔장애인권리협약 일반논평(1 2호) 안내서,2021-11-30,유경민,정책연구,978-89-6921-422-5(93330),일반논평(General Comments)은 법적구속력은 없지만 해당 인권조약에 대한 이해와 충실한 이행을 위해서 반드시 숙지해야 할 문서로서  유엔장애인권리위원회가 채택한 일반논평의 이해와 이행을 촉진하고  장애인 인권 증진을 위해서 그 책무를 지닌 사람들을 대상으로 포괄적 내용의 일반논평에 대한 사례를 추가하여 그 내용에 대한 이해를 돕고  협약이행을 안내하고자 함  
[2021] 발달장애인 개인별지원계획 모델 개발 연구,2021-10-31,강정배,정책연구,978-89-6921-004-3(93330),본 연구에서는 발달장애인지원센터에서 기존에 축적된 자료를 기반으로 발달장애인 욕구에 맞는 정책 마련을 위한 분석을 실시하여  이를  기반으로 개인별지원계획의 수립 과정에서 과거의 기록에 기반한 유사사례 추천을 통한 개인별지원계획 작성의 효율화 모델을 제안하고자 한다.
[2021] 척수장애인을 위한 통합사례관리모델 개발 연구,2021-10-31,한기명,정책연구,978-89-6921-411-9(93330),기존 통합사례관리 모델의 문제점을 지적하고  척수장애인의 관리와 지역사회 안착을 위한 통합사례관리 모델을 개발하고자 함.
[2021] 장애인복지법 제도권 밖 소수자의 복지욕구 관한 연구Ⅲ: 중증 피부질환 및 장애인등록체계 개편을 중심으로,2021-10-31,조윤화,정책연구,978-89-6921-409-6(93330),피부질환으로 인한 어려움을 가진 대상자들의 일상생활 및 사회참여 제약의 수준을 양적 및 질적으로 살펴보고  이를 토대로 우리나라 장애인복지법의 장애등록체계의 개편 방안을 모색하고자 함
[2021] 위기 정신장애인의 지역사회정착을 위한 지원체계 연구,2021-10-31,조윤화,정책연구,978-89-6921-413-3(93330),정신장애인의 위기 개념을 재정립한 후  국내외의 위기지원체계 현황을 분석하고  FGI와 실태조사 방법을 통해 정신장애인의 위기 현황을 조사한 후  이들의 욕구와 경험을 토대로 위기 정신장애인의 지역사회 정착을 위한 지원체계 모델을 제시하고자 함
[2021] 비대면 운동 중재프로그램 적용 및 효과성 검증 연구: 지체장애인을 중심으로,2021-10-31,한기명,정책연구,978-89-6921-408-9(93330),본 연구는 코로나 19 장기화에 따른 비대면 방식의 장애인 운동 프로그램이 절실한 실정임에 따라 비대면 방식의 운동 중재프로그램을 적용하고  지체장애인들의 건강체력에 대한 변화를 통해 효과성을 검증하는 것임
[2021] 지역사회 장애인 대상 비의료 건강관리서비스 운영 실태조사 연구: 비대면 서비스를 중심으로,2021-10-31,한기명,정책연구,978-89-6921-414-0(93330),본 연구는 기존의 면대면 방식의 건강관리서비스를 제공하였던 장애인 서비스 제공기관을 중심으로 비의료 건강관리서비스의 비대면 방식 전환 여부  전환 시 어려운 점과 필요한 지원 등을 파악함으로써 단계적 일상회복(위드 코로나) 단계에서 장애인을 위한 보다 질적이고  효율적인 건강관리서비스를 제공하기 위한 개선방안을 찾고자 하였음.
[2021] 성인발달장애인 낮시간서비스 개선을 위한 연구,2021-10-30,서원선,정책연구,978-89-6921-419-5(93330),성인발달장애인의 낮시간서비스에 대한 개선방안 제시하기 위함
[2021] 포스트 코로나 시대의 장애인복지관 운영방향 연구,2021-10-30,서원선,정책연구,978-89-6921-421-8(93330),코로나시대의 장애인복지관에서의 스마트 운영 방향 모색
[2021] 탈시설 장애인을 위한 주거지원체계 구축방안 연구,2021-10-30,서해정,정책연구,978-89-6921-418-8(93330),탈시설을 준비하고 있는 장애인에게 필요한 주거지원체계 구축방안을 모색하는 것을 주 목적을 둠
[2021] 감염병 시대의 장애인 고용 및 직업재활서비스 대응 방안 연구,2021-10-30,이혜경,정책연구,978-89-6921-415-7(93330),감염병 시대의 장애인 고용 및 직업재활서비스의 대응방안을 모색하기 위함
[2021] 시각장애인 보행지도사 자격제도 및 보행지도서비스 개선을 위한 연구,2021-10-30,서원선,정책연구,978-89-6921-420-1(93330),시각장애인에게 필요한 보행지도사 양성을 위해 보행지도사 자격제도 및 보행지도서비스 개선 방안을 제시하고자 함
[2021] 지역사회 장애인 주거지원서비스 기준 개발 연구,2021-10-30,서해정,정책연구,978-89-6921-417-1(93330),지역사회 내의 장애인의 주거지원서비스에 대한 기준 개발에 주 목적을 둠
[2021] 장애아가족 양육지원사업 평가지표 개발 연구,2021-10-30,서해정,정책연구,978-89-6921-416-4(93330),장애아가족 양육지원사업에 대한 평가지표 개발을 주 목적을 둠
[2021] 장애인삶 패널조사 패널이탈 특성 및 종단가중치(3차년도) 연구,2021-10-29,김현지,정책연구,978-89-6921-410-2(93330),장애인삶 패널조사의 패널이탈 특성 분석하여 표본유지율 제고에 기여하고 3차년도 종단가중치 작성 방안 제시하고자 함
[2021] 발달장애인 도전적 행동 지원방안 연구,2021-10-29,강정배,정책연구,978-89-6921-412-6(93330),발달장애인의 심한 도전적 행동은 가족의 붕괴  동반자살 등의 심각한 사회문제를 초래함에도 지원체계가 부족했으며  특히 전문인력 부족은 제도 마련의 걸림돌이 됨. 따라서 도전적 행동을 지원하는 체계와 전문인력 양성체계를 제안함
[2021] 2021 장애통계연보,2021-09-30,김현지,정책연구,978-89-6921-406-5(93330),장애통계연보는 장애인권리협약(CRPD)의 권리를 기반으로 하고  생애주기별 복지욕구에 기반한 다양한 통계 및 지표를 수집 및 생산하여 장애인복지정책을 제안하는데 기초자료로서 역할을 목적으로 함
[2021] 장애인삶 패널조사 이용자 안내서,2021-06-30,김현지,정책연구,978-89-6921-405-8(93330),장애인삶 패널조사의 기초 정보를 제공하고  통계조사로 부터 데이터가 생산되는 전 과정을 통계이용자에게 제공하여 데이터에 대한 이해를 높임으로 올바른 분석이 수행될 수 있도록 가이드를 제공하고자 함
[2021] 2020 KODDI 연구요약집 ,2021-04-30,각 과제별 책임연구자 ,자료,978-89-6921-401-0(93330),본 원에서 2020년 한해 동안 수행한 연구보고서의 요약 
[2020] 팬데믹 시대(COVID-19) 발달장애인의 생활실태와 서비스 욕구변화 연구,2021-03-31,"부산대학교 사회복지학과 강사 조향숙, 울산광역시발달장애인지원센터장 김민경",위탁연구,978-89-6921-003-6,코로나19 팬데믹 상황에서 발달장애인과 가족의 일상생활과 복지서비스 욕구변화를 분석하고 서비스의 방향과 지원형태 개선방안을 제시
[2020] 장애인 편의시설 상세표준도 수정판,2020-12-31,김인순,편의증진,978-89-6921-322-8,장애인등편의법 제14조제2항에 따라 편의시설 상세표준도를 작성하여 보급함. 건축물에 대한 편의시설 상세표준도는 해당 편의시설에 관한 건축법 제23조제4항에 따른 표준설계도서로 봄.
[2020] 서울시 저소득 장애인 주거편의 지원사업,2020-12-31,김인순,편의증진,978-89-6921-395-2(13540),본 보고서는 한국장애인개발원이 서울특별시와 협약을 체결하여 서울시에 거주하고 있는 저소득 장애인의 주거편의를 제공한 내용을 포함함. 장애유형 및 장애정도  행동패턴 등을 고려한 맞춤형 주거편의 지원을 설계에서부터 시공까지 종합적으로 지원하여 장애인 주거환경 개선을 통한 삶의 질 향상에 기여하고자 함. 
[2020] 2019년 장애인삶 패널조사,2020-12-31,김정희,정책연구,978-89-6921-396-9(93330),장애인의 장애등록 이후 삶의 변화를 파악하고 삶과 관련된 일상생활  소득수준  건강상태  복지욕구  사회참여 등의 탐색을 통해 향후 관련 정책의 수립 및 지원 과정에서 활용할 수 있는 기초자료를 마련하고자 함
[2020] 인천전략이행기금사업 평가 및 장애포괄적 국제개발협력 지속 방안 연구,2020-12-15,곽재성,사업평가,데이터 미집계,인천전략이행기금사업 평가 및 장애포괄적 국제개발협력 지속 방안 연구
[2020] 공공·민간 연계 중증장애인 신규일자리 창출 사업 성과분석 및 활성화 방안 연구,2020-12-14,(주)한국사회가치 평가,직업재활,978-89-6921-391-4,1. 중증장애인 신규일자리 창출사업의 성과제고 2. 객관적인 성과측정 기준 마련을 통한 사회 경제적 가치 측정 3. 신규직무 개발 등 중증장애인의 지속가능한 일자리 창출 활성화 방안 모색
[2020] 2019년 장애인삶패널조사 공표 일정 사전 안내,2020-12-10,김정희,정책연구,데이터 미집계,장애인의 장애등록 이후 삶의 변화를 파악하고 삶과 관련된 일상생활  소득수준  건강상태  복지욕구  사회참여 등의 탐색을 통해 향후 관련 정책의 수립지원 과정에서 활용할 수 있는 기초자료를 마련하고자 함
[2020] 장애인일자리사업 종합평가 연구 ,2020-12-04,한신대학교 이인재 교수,직업재활,978-89-6921-390-7(93330),장애인일자리사업의 경제적  사회적 가치 검증 등 사업성과 분석 
[2020] 서울시 장애인 탈시설 종단연구 (2020),2020-11-30,강정배,정책연구,978-89-6921-388-4(93330),탈시설 장애인을 대상으로 종단조사를 실시하여 지역사회 정착과정과 삶을 분석
[2020] 장애인직업재활시설 운영 방향성 연구,2020-10-30,이혜경,정책연구,978-89-692-1382-2(93330),장애인직업재활시설의 운영 방향성 제시
[2020] 재난취약 유형별 재난안전 매뉴얼 개선 및 보급방안 연구,2020-10-30,강정배,정책연구,978-89-6921-377-8(93330),재난 취약유형 중 ‘계단이동의 어려움’  ‘시각 정보 습득의 어려움’ 2개 유형의 재난 안전 매뉴얼 개발 및 장애 포괄적 국민행동요령 개선
[2020] OECD 회원국의 장애인연금 근로능력평가도구 비교 분석연구: ICF 개인 및 환경적 맥락을 중심으로,2020-10-30,조윤화,정책연구,978-89-6921-375-4(93330),OECD 주요 국가의 근로능력평가도구의 내용을 ICF 장애개념의 구성요소를 기반으로 비교분석 하여  개인 및 환경적 맥락의 지표를 도출하고  지표의 타당성을 구축하고자 함
[2020] 장애유형별 운동프로그램 개발: 지체장애인을 중심으로,2020-10-30,김지영,정책연구,978-89-6921-371-6(93330),지체장애인의 특성을 고려한 운동프로그램을 개발하고자 함
[2020] 장애인삶 패널조사를 위한 종단가중치 작성 방안 연구,2020-10-30,김현지,정책연구,978-89-6921-376-1(93330) ,장애인삶 패널조사의 종단분석에 필요한 2차 년도 종단가중치 작성을 위한 연구임
[2020] 장애인복지법 제도권 밖 소수자의 복지욕구에 관한 연구 Ⅱ: 포괄적 정신장애를 중심으로,2020-10-30,조윤화,정책연구,978-89-6921-372-3(93330),장애인복지법에서 포괄하고 있지 않는 정신장애인의 일상생활 및 사회참여의 제약 등을 분석하는 것으로  우선적으로 해외사례를 통해 한국의 정신장애범주 및 정책들을 고용  교육  의료  서비스 측면에서 진단하고  2차 자료의 재분석을 통해 정신장애인의 현황 및 특성 등을 분석한 후  그들의 복지욕구 및 일상생활의 경험을 토대로 장애인복지제도의 개선방안을 제안하고자 함
[2020] 뇌전증 장애인의 보건복지 욕구 파악을 위한 연구,2020-10-30,서원선,정책연구,978-89-692-1379-2(93330),뇌전증장애인의 보건 및 복지 욕구 및 현황을 이해하고 제도 개선을 위한 기초자료로 제시하기 위함
[2020] 장애인가구 빈곤수준 및 장애인연금 빈곤완화 효과에 관한 연구,2020-10-30,조윤화,정책연구,978-89-6921-373-0(93330),장애인가구의 빈곤수준을 장애인실태조사의 가처분소득을 기준으로 장애가구 및 장애유형 특성별로 분석하고자 함. 또한 2011년  2014년  2017년의 기간 동안의 장애인연금의 효과성을 분석하고  해외사례를 통한 비기여연금 급여 수준을 비교하여  향후 장애인연금의 방향성을 제안하고자 함
[2020] 뇌병변장애인의 의사소통 증진을 위한 지원방안 연구,2020-10-30,서원선,정책연구,978-89-692-1385-3(93330),뇌병변장애인의 의사소통 증진을 위한 지원방안을 목색하기 위함
[2020] 장애인콜택시 전국 통합 체계 마련을 위한 연구,2020-10-30,서원선,정책연구,978-89-692-1384-6(93330),장애인콜택시의 전국 통합체계 마련을 위한 연구
[2020] 장애등급제 폐지 시행에 따른 맞춤형 서비스 지원 방안-사례관리 및 자원연계를 중심으로,2020-10-30,서원선,정책연구,978-89-692-1386-0(93330),장애등급제 폐지에따라 복지관과 동주민센터와의 사례관리 및 자원연계 방안을 모색하고자 함.
[2020] 장애인 주간보호시설 종사자 직무분석 연구,2020-10-30,서해정,정책연구,978-89-692-1380-8(93330),장애인 주간보호시설 종사자의 직무 분석 연구
[2020] 장애인의 의료이용 및 의료비 지출에 영향을 미치는 요인에 관한 연구,2020-10-30,김지영,정책연구,978-89-6921-374-7(93330),장애인의 의료이용 및 의료비 지출 현황을 조사하고  이에 영향을 미치는 요인을 분석하고자 함
[2020] 장애아동을 위한 가정위탁지원제도 활성화 방안 연구,2020-10-30,서해정,정책연구,978-89-692-1383-9(93330),장애아동을 위한 가정위탁지원제도의 활성화 방안 모색
[2020] 장애인 단기거주시설 운영 실태조사 연구,2020-10-30,서해정,정책연구,978-89-692-1378-5(93330),장애인 단기거주시설 운영 실태조사
[2020] 장애인활동지원서비스의 방문재활서비스 신설에 대한 연구,2020-10-30,이혜경,정책연구,978-89-692-1381-5(93330),장애인활동지원서비스의 방문재활서비스 신설에 대한 연구
[2020] 2020 장애통계연보,2020-09-30,김현지,정책연구,978-89-6921-370-9(93330),장애통계연보는 장애인권리협약(CRPD)의 권리를 기반으로 하고  생애주기별 복지욕구에 기반한 다양한 통계 및 지표를 수집 및 생산하여 장애인복지정책을 제안하는데 기초자료로서 역할을 목적으로 함
[2020] 현장중심 직업재활센터 [나]유형 시범사업 성과분석 연구,2020-09-29,대구대학교 나운환 교수,직업재활,978-89-6921-369-3(93330),현장중심 직업재활센터 [나]유형 시범사업에 대한 성과를 분석함으로써  신규 유형 모델의 실제 적용성 검토 및 발전방안을 모색하고자 함
[2020] 2019 KODDI 연구요약집 ,2020-04-29,각 과제별 책임연구자 ,자료,978-89-6921-366-2(93330),본 원에서 2019년 한해 동안 수행한 연구보고서의 요약 
[2019] 2019 장애인백서,2019-12-31,김정희,정책연구 ,978-89-6921-357-0(93330),현재 진행되고 있는 장애인정책을 재조명하고 장애인복지 업무 및 정책 등을 체계적으로 종합할 수 있는 자료 제공을 목적으로 함
[2019] 2018년 장애인삶 패널조사,2019-12-31,김정희,정책연구,978-89-6921-317-4(93310),장애인의 장애등록 이후 삶의 변화를 파악하고 삶과 관련된 일상생활  소득수준  건강상태  복지욕구  사회참여 등의 탐색을 통해 향후 관련 정책의 수립지원 과정에서 활용할 수 있는 기초자료를 마련하고자 함
[2019] 2019 장애통계연보,2019-12-31,조윤화,정책연구,978-89-6921-362-4(93330),장애통계연보는 장애인권리협약(CRPD)의 권리를 기반으로 하고  생애주기별 복지욕구에 기반한 다양한 통계 및 지표를 수집 및 생산하여 장애인복지정책을 제안하는데 기초자료로서 역할을 목적으로 함
[2019] 중증장애인생산품 우선구매제도의 사회적 가치 및 효과성 분석 연구,2019-12-31,한밭대학교 이준우 교수,직업재활,979-11-9539-243-3,중증장애인생산품 우선구매제도의 사회적 가치에 대한 정의와 정체성 확립  비용·편익 분석을 통해 사업의 효율성 및 타당성 확보  사회적 가치 및 효과성 측정을 통한 문제점 및 강화방안 마련
[2019] 서울시 저소득 장애인 주거편의지원사업,2019-12-31,김인순,편의증진,978-89-6921-358-7(93540),본 보고서는 한국장애인개발원이 서울특별시와 협약을 체결하여 서울시에 거주하고 있는 저소득 장애인의 주거편의를 제공한 내용을 담은 것으로 장애유형 및 장애정도  행동패턴 등을 고려한 맞춤형 주거편의지원을 설계에서부터 시공까지 종합적으로 지원하여 장애인 주거환경 개선을 통한 삶의 질 향상에 기여하고자 함
[2019] 유니버설디자인(UD) 안내시스템 개발 및 구축을 위한 조사연구,2019-12-19,김인순,편의증진,978-89-6921-351-8(93360),본 보고서는 장애인등편의법 제8조 개정내용에 대응함과 동시에 이동 및 접근성 향상을 위하여 저시력인  고령자를 포함한 장애인등 모두를 고려한 편의시설 종류별 안내 내용과 UD가 적용된 안내표시 디자인 표준화 기준안을 제시하여  향후 장애인등 편의법 하위법령 개정시 근거로 활용하는 것을 목적으로 한다.
[2019] 중증장애인직업재활지원사업 성과분석 및 발전방안 연구,2019-11-29,대구대학교 나운환 교수,직업재활,978-89-6921-356-3(93330),중증장애인직업재활지원사업의 성과분석을 통한 사업의 효과성을 확인하고 이를 토대로 사업의 개선방향과 정책  전달체계의 개선방안 제시
[2019] 여성장애인 폭력피해자 지원을 위한 정책방안,2019-10-31,서해정,정책연구,978-89-6921-335-8(93330),여성장애인과 젠더기반 여성폭력에 대해서 살펴보고 폭력피해자 지원을 위한 정책 제안
[2019] 아동양육시설 퇴소 후 경계선지적기능아동의 지원방안 연구,2019-10-31,서해정,정책연구,978-89-6921-331-0(93330),경계선지적기능아동의 지원방안 마련 제언
[2019] 커뮤니케어를 통한 중증장애인의 탈병원 연구,2019-10-31,서원선,정책연구,978-89-6921-334-1(93330),척수장애인 및 뇌병변 장애인의 탈병원 과정을 이해하고 탈병원에 필요한 정책 및 제도 연구
[2019] 장애인 정신건강 증진을 위한 지원방안 연구,2019-10-31,서원선,정책연구,978-89-6921-332-7(93330),장애인 정신건강 유지를 위한 정신건강서비스 및 장애인복지서비스간 연계를 분석하고 정신건걍 증진을 위한 지원방안 제시
[2019] 장애인차별금지법과 상충되는 고용 관련 연구,2019-10-31,서원선,정책연구,978-89-6921-346-4(93330),장애인차별금지법과 상충되는 고용관련 법령 분석 연구
[2019] 신장장애인 욕구 및 실태조사 연구보고서,2019-10-31,서원선,정책연구,978-89-6921-342-6(93330),신장장애인의 욕구와 실태를 파악하기 위한 조사 
[2019] 서울시 장애인 탈시설 종단연구 (2019),2019-10-31,강정배,정책연구,978-89-6921-330-3(93330),탈시설 장애인을 대상으로 종단조사를 실시하여 지역사회 정착과정과 삶을 분석
[2019] 한국 장애출현율 개편방안에 관한 연구 - ICF장애개념을 기반으로,2019-10-31,조윤화,정책연구,978-89-6921-329-7(93330),한국의 손상 중심의 장애출현율 조사의 한계를 넘어  ICF 장애개념에 근접한 조사 도구를 통해 장애출현율을 측정함
[2019] 장애영향평가 지침 마련 연구,2019-10-31,이혜경,정책연구,978-89-6921-327-3(93330),장애포괄적 또는 장애인지적관점의 정책과 제도실행을 위한 지침 마련 
[2019] 장애인 맞춤 일자리 지원을 위한 지역일자리 탐색 연구,2019-10-31,이혜경,정책연구,978-89-6921-343-3(93300),장애인의 맞춤 일자리를 지원하기 위해서 지역내 일자리에 대한 탐색
[2019] 장애인복지법 제도권 밖 소수자의 복지욕구에 관한 연구-배제에서 포용으로,2019-10-31,조윤화,정책연구,978-89-6921-333-4(93330),장애인복지법에 배제된 잠재적 장애인복지정책 수요자의 범주와 욕구 조사 : 복합부위통증증후군(CRPS)  기면증  뚜렛증후군을 대상으로 함
[2019] 장애분야 빅데이터 활용을 위한 조사연구,2019-10-31,김현지,정책연구,978-89-6921-339-6(93330),장애분야 빅데이터 활용을 위한 기초자료 제공
[2019] 장애인 사회적 배제의 지수화 및 작동기제 연구,2019-10-31,조윤화,정책연구,978-89-6921-338-9(93330),자원 중심적인 빈곤 관점에서 확대된 분석틀인 사회적 배제관점으로 장애인의 삶을 면밀히 조망하고자 함
[2019] 장애인삶 패널조사 가중치 산정 방안 연구,2019-10-31,김현지,정책연구,978-89-6921-337-2(93330),장애인삶 패널조사의 1차년도 조사결과 분석에 필요한 가중치 작성
[2019] 장애인 개별운동프로그램 개발,2019-10-30,김지영,정책연구,978-89-6921-345-7(93330),장애인의 개별 맞춤형 운동프로그램 개발
[2019] 중증·중도장애인 가족지원 방안 -척수장애인 가족을 중심으로-,2019-10-30,서해정,정책연구,978-89-6921-328-0(93330),척수장애인 가족을 중심으로 중증·중도장애인 가족지원 방안 모색
[2019] 국내 장애인의 만성질환 및 건강행태 조사 연구,2019-10-30,김지영,정책연구,978-89-6921-336-5(93330),국내외 장애인의 만성질환 및 건강행태 및 사망위험 비교
[2019] 장애인주간보호시설 운영 현황 실태조사,2019-10-30,서해정,정책연구 ,978-89-6921-344-0(93330),장애인주간보호시설 운영 현황을 파악하기 위한 실태조사 실시
[2019] 장애아동 조기발견 모델 개발 연구,2019-10-30,강정배,정책연구,978-89-6921-341-9(93330),영유아 의료기관 검진기록 및 장애아동의 진료 경로를 분석하여 장애의 조기발견 모델을 개발함
[2019] 장애인 특별운송수단 지방자치단체 연계방안 연구,2019-10-30,강정배,정책연구,978-89-6921-340-2(93330),특별교통수단의 다양한 제약요소를 고려하여 자치단체 경계를 넘어 이동할 방안과 전국 통합운영 방안을 제안함
[2019] 국제장애인 권리 및 입법의 발달: 유엔장애인권리협약의 심층적 논의와 분석,2019-07-30,김형식,정책연구,978-89-6921-325-9(93330),유엔장애인권리협약의 심층 분석을 통해 본 협약에 대한 깊은 이해를 도모하고 권리와 국가 의무의 관계를 설명하며  협약을 통한 장애인 권리 향상과 향후 전망 및 과제를 논의함
[2019] 2018 KODDI 연구요약집 ,2019-03-31, 각 과제별 책임연구자 ,자료,978-89-6921-320-4(93330) ,본 원에서 2018년 한해 동안 수행한 연구보고서의 요약 
[2018] 서울시 저소득 장애인 주거편의지원사업,2018-12-31,김인순,편의증진,978-89-6921-313-6(93540),본 보고서는 한국장애인개발원이 서울특별시와 협약을 체결하여 서울시에 거주하고 있는 저소득 장애인의 주거편의를 제공한 내용을 담은 것으로 장애유형 및 장애정도  행동패턴 등을 고려한 맞춤형 주거편의지원을 설계에서부터 시공까지 종합적으로 지원하여 장애인 주거환경 개선을 통한 삶의 질 향상에 기여하고자 함
[2018] 장애학생 현장중심 맞춤형일자리사업 서비스 매뉴얼,2018-12-31,류정은,서비스 매뉴얼,978-89-6921-315-0(93330),장애학생 현장중심 맞춤형일자리사업 안내
[2018] 2018 장애통계연보,2018-12-27,조윤화,정책연구,978-89-6921-316-7(93330) ,장애통계연보는 장애인권리협약(CRPD)의 권리를 기반으로 하고  생애주기별 복지욕구에 기반한 다양한 통계 및 지표를 수집 및 생산하여 장애인복지정책을 제안하는데 기초자료로서 역할을 목적으로 함
[2018] 현장중심 직업재활센터사업 현황 분석 및 평가지표 개발 연구,2018-12-09,대구대학교 나운환 교수,위탁연구보고서,978-89-6921-314-3(93330),현장중심 직업재활센터사업이 중증장애인직업재활지원사업으로 편성됨에 따라 그 간 현황을 분석하여 중장기적 발전 방안을 제시하고  사업효과성 점검을 위해 평가지표를 개발하고자 함.
[2018] 문화유적지 무장애 공간 조성 연구,2018-11-30,김인순,편의증진,978-89-6921-301-3(95500),전통유산인 궁·능의 기존가치를 보존함과 동시에 문화유적지 각각의 특성을 고려하여 모든 시설이용자에게 편의를 제공할 수 있는 효율적인 개선방안 제시를 목적으로 함 
[2018] 복지.교육.고용 연계를 통한 장애인 취업지원 전달체계 구축 방안 연구,2018-11-30,이혜경,정책연구,978-89-6921-303-7(93330),장애인 취업지원 전달체계 구축 방안 연구
[2018] OECD국가 장애출현율 산출기준과 장애개념 관계성 연구: 한국  호주  독일  프랑스를 중심으로,2018-10-31,조윤화,정책연구,978-89-6921-298-6(93330),본 연구는 OECD 국가 중 한국  호주  독일  프랑스의 장애개념과 장애출현율 간의 관계를 법정 및 통계적 정의 측면에서 분석하여 국내 장애개념 및 장애출현율 산출기준 개선방안을 제안하고자 함
[2018] 사회서비스 영역의 ICF 기반 장애평가체계 비교연구,2018-10-31,조상은,정책연구,978-89-6921-297-9(93330),본 연구는 유럽 국가를 중심으로  장애 판정에서 서비스 연계로 이어지는 과정에서 ICF가 어떻게 도입되어 운영되고 조사표에 어떻게 반영되었는지 살펴봄으로써 향후 국내 장애평가체계 개편 및 서비스지원조사도구의 개발·보완 시 참고할 수 있는 기초자료 제공을 목적으로 함
[2018] 장애영향평가 도입을 위한 기초 연구,2018-10-31,이혜경,정책연구,978-89-6921-293-1(93330),‘장애인지제도 도입 및 운영방안’ 연구의 후속과제로  장애영향평가 분석이 가능한 영역을 확인하고  구체적 실행방안을 모색하기 위해 유사제도인 성별영향분석평가와 해외의 장애영향평가 관련 사례를 분석하여  장애영향평가 실행을 위한 방안을 제안하고자 함
[2018] 다문화가정의 장애아동 가족을 위한 지원방안 연구,2018-10-31,서해정,정책연구,978-89-6921-300-6(93330),다문화가족에서 장애아동이 있는 가정의 실태와 욕구를 살펴보고 그에 따른 정책적 제언을 제시하고자 함
[2018] 장애인거주시설 소규모화 실태 및 정책방안 연구,2018-10-31,서해정,정책연구,978-89-6921-299-3(93330),장애인거주시설의 소규모화 실태를 조사하여 소규모화 정책 방향과 구체적인 정책방안을 제시하고자 함
[2018] 장애인차별금지법과 상충되는 교육 관련 법령 연구,2018-10-30,서원선,정책연구,978-89-6921-292-4(93330),장애인차별금지법과 상충되는 교육 관련 법령 분석을 통해 입학.전학.전입.편입 관련 법령  교육 프로그램.서비스 관련 법령  정당한 편의 관련 법령  평가.진단.시험 관련 법령을 개정하고자 함
[2018] 최저임금 인상에 따른 장애인 직업재활시설 고용환경 변화 연구,2018-10-30,이수용,정책연구,978-89-6921-296-2(93330),지속적 인상이 예상되는 최저임금에 따른 직업재활시설의 고용환경 변화를 예측하고 이에 따른 대응방안을 모색하고자 함
[2018] 서울시 장애인 탈시설 종단 연구,2018-10-30,강정배,정책연구,978-89-6921-294-8(93330),탈시설 장애인의 지역사회 정착과정을 분석하기 위해 서울시 탈시설 정책인 자립생활주택 입소 대기자  입소자  퇴거자의 생활을 10년가 추적 조사하고자 함
[2018] 수어통역사 활성화 방안 연구,2018-10-30,서원선,정책연구,978-89-6921-295-5(93330) ,수어통역사의 활성화를 위해 현재 수어통역과 관련된 현황을 파악하고  수어통역사와 당사자를 기반으로 수어통역 환경의 양적 · 질적 증대를 위한 방안을 강구하는 것이 필요함
[2018] 장애물 없는 생활환경(Barrier-Free) 인증제도 지표개선방안 연구(도로 등),2018-09-28,김인순,편의증진,978-89-6921-291-7(93500),본 연구에서는 도로를 중심으로 BF인증의 현황 분석  법규 검토  인터뷰 등을 통해 평가지표에 관한 개선방안을 제시하는 것을 목적으로 함. 
[2018] 장애인패널조사 표본설계,2018-08-31,김현지,정책연구,978-89-6921-290-0(93310),장애인패널조사 표본설계를 통해 모든 법정장애유형 및 다양한 특성의 표본이 최종표본에 충분히 포함될 수 있으며  공표단위에 대한 모집단 대표성 확보  조사의 효율성(조사예산 및 일정)을 높일 수 있는 방안을 마련함
[2018] 장애인일자리사업 개편방향 연구,2018-06-30,이수용,정책연구,978-89-6921-288-7(93330),장애인일자리사업의 방향성을 탐색하여 유형개편(안)에 따른 세부지원 방안 제시
